"","Healthy_1W","Healthy_3W","Healthy_5W","Diabetic_1W","Diabetic_3W","Diabetic_5W","Trained_diabetic_1W","Trained_diabetic_3W","Trained_diabetic_5W","Trained_1W","Trained_3W","Trained_5W"
"100729_at",11.549364516178,11.795767955879,12.178147128478,12.1815522799677,12.2161056333544,12.7269819205309,11.8644813689472,12.0899285457023,12.4874062600669,11.6266537685365,11.6681928878557,12.0399761904046
"94343_at",6.32691604710602,6.47374649526106,6.85617901145706,6.63531543936944,6.58529100136684,7.29091087839755,6.46109244792211,6.68215295312566,6.86392263616592,6.37331537438462,6.39695647815515,6.46094362888676
"97944_f_at",8.06961806320885,7.84196647331827,7.54360574871843,7.73162269825187,7.71218221082592,7.64730454378101,7.9500744732362,7.72089245428896,7.61724698617468,7.90475078429873,7.92847015746416,7.5324649133704
"100914_at",9.55342713872749,9.12508459643354,8.81245807130119,8.93199109533566,9.08942035890209,8.60776095092626,8.97301336544736,9.2235445024457,8.53024774922293,9.16311848672074,9.05638657867425,8.96349483883585
"102348_at",8.24807773742183,8.79338371732934,8.61529603191995,7.80052007330903,8.46948943905527,7.47517289204253,7.45964102390339,8.25281874760251,7.45795665071173,8.62602975549792,8.77841999838827,8.67415755834832
"99416_at",5.40959276946553,5.61364901432812,5.30554651916355,5.47255084381711,5.42046714332377,5.15062162594967,5.42677630573963,5.37836837100021,5.17011597769558,5.75552300676364,5.47291590375801,5.19120935191458
"98471_f_at",7.66382746273529,7.47350250415938,7.2958716024814,7.71780979659658,7.63593970559807,7.2795847164259,7.83916603265003,7.71864005668639,7.3684634010096,7.69315784610793,7.56075043037656,7.34528705607308
"101129_at",11.5759210884957,11.822710208082,12.0552220890132,12.1397117873134,12.1486981282132,12.5126464241599,11.7678119350403,12.0141321769756,12.3126848273001,11.6836116894144,11.7761330221694,11.8201129806418
"94192_at",6.61615548259375,6.72978987286709,5.46139825302008,6.908094433968,6.46819064136127,5.16745305559044,6.92730761448202,6.29861608322295,5.46541921877964,6.89814880676063,6.55394519989513,5.652051609468
"100920_at",6.32238392440672,5.85172618923072,5.64497253164666,5.36479372488203,5.73242012964656,5.48684868101772,5.36776990327834,5.74284224051304,5.13554818351455,5.45382000918054,5.75570778036617,5.80222422935395
"104373_at",4.93148889231224,4.95689272378614,5.52088169917985,4.5195099940715,5.02674953144668,5.5357704288185,4.85208071375668,5.03167405822537,5.20233999943648,4.85930529699594,5.09245631421962,5.15603541495333
"99493_at",8.25556379573271,8.41079321759327,8.87256703825097,8.17891809414454,8.44064462157394,9.14699771762101,8.21354282497033,8.53849453690775,8.69736822413538,8.25541707041475,8.16067229605792,8.66206937923529
"160889_at",4.70078412837177,4.6466432576509,5.07571924602362,4.6101349899883,4.70151234594688,5.17985196873203,4.34053456063034,4.57396890612479,4.90467290205027,4.1013658596547,4.30435964213014,4.74691081067088
"94359_at",7.85673419281161,8.12528446820845,8.26724245885838,8.8351799868826,8.75773361354966,9.16478897110467,8.49896329677809,8.62720630980034,8.64696575507549,8.10236580706724,7.87731820105353,8.26869094647105
"162467_r_at",7.90634841314776,7.78583062755014,7.54127899031116,7.75596687166325,7.75753916427185,7.48442356145791,7.85643203404707,7.81041657131052,7.55708314374717,7.84470143282166,7.91466744624857,7.7224105620314
"161421_r_at",5.57684242465917,5.19269525036728,4.7685759689025,5.23892071341998,5.17106129933515,4.9029552093564,5.3654817459127,5.13602086393114,4.76970204792052,5.35950712053495,5.24088325182866,4.91061212433113
"97853_at",4.26254798629684,4.47655851925947,4.90478090111265,4.76539075586096,4.70696536174897,5.61636171544993,4.59362802658269,4.84990671904275,5.10379997528489,4.24386574785939,4.23917537786588,4.92752736270285
"95917_at",4.06090244148813,4.01041922052041,3.75022043094721,3.95300114073755,4.19245101960633,3.60739427027003,4.04062133208939,4.12042094843013,3.68913786304538,4.07933103243567,4.16724021896139,3.92063598743116
"162100_r_at",8.73745856108538,8.40008995758981,8.12212423816359,8.27636949877868,8.37611135680615,8.04038946330155,8.60785204471627,8.41211154831858,8.01152326910068,8.53860967026842,8.35868640366068,8.33163375767344
"94445_at",6.33740131897231,6.66798423096805,6.69184078590976,6.03598516108448,6.37235338929909,7.05213064544474,6.12873961908532,6.38432830341413,6.97192109261173,6.43303523439701,6.66142097295048,6.51211809779691
"161104_at",5.50845521087584,5.69414704134303,6.10007602348701,5.56065984600389,5.71285161124549,5.95965536894846,5.36524960649469,5.53013167371087,6.00598681754115,5.88395293861189,5.58554418651064,5.8187016404542
"96900_at",12.434225546713,12.5768321435282,12.5812238975244,12.1924190346985,12.0410775079093,11.8073219693295,12.5383067192682,12.2817978597496,12.1698505821083,12.6770284835812,12.6376400428128,12.5962627643411
"96221_at",6.57345931381347,6.6354686897183,6.53769891268293,7.76391982443829,7.61576043613322,7.67507768929076,7.38959947942788,7.52392020202256,7.98254685341046,6.77469169902265,6.81128787101784,6.82535157822964
"93158_at",8.73867518514545,8.55685589086016,8.3182918647066,8.38763049441289,8.36962660885649,8.33326833201952,8.66481903977644,8.49840603402352,8.27167541236871,8.70349648461504,8.61295867081908,8.33765802462206
"161073_at",10.4853655437028,10.4792248733157,10.1581289491993,10.8821881058485,10.5423775024319,10.1053002040297,10.7397611890473,10.620523572605,10.2852669534439,10.417417515318,10.5296911970673,10.119296399256
"104115_at",9.52256447988208,9.80778503843167,10.1822215851055,10.6409741745471,10.0252553436891,10.8254070939373,9.93887088018773,9.97329801319789,10.2140246195736,9.65822923650488,9.47198485382572,10.0587928235347
"94228_at",7.54466674906355,7.59956020519614,8.09821058367495,7.30262323985113,7.42101657216983,8.26519160916892,7.31833681756934,7.33159943113761,7.92435325760696,7.62242605429149,7.3446619324407,7.56331993032963
"160764_at",7.7219735474146,7.93962023151336,8.24142978791062,8.1588802366079,8.10958959938434,8.6332765368754,7.95094282202643,8.11767256263869,8.27577848570386,7.73532938160052,7.74834831610622,8.11207540191345
"99849_at",9.34215489943994,9.71133060363638,9.67256500412331,10.4944294428528,10.2873333546919,9.88728213790634,10.7305904412821,11.0906780426579,10.4332388313409,10.7981520572046,10.3148606125051,9.70426374454291
"102702_at",8.37506695327981,8.74931763473893,8.62886854019512,8.28469783824286,8.2190317251948,8.28620267104849,8.44107691584798,8.58235227182291,8.41688952686479,8.65741237410753,8.65188626150696,8.57882435723068
"95378_at",9.75363477539238,8.92853302070322,9.40022943623313,8.28448326907549,9.41975737261207,10.1564072894769,9.57121282338373,9.56444090112403,9.97324090084684,9.79851998750049,8.52429582149881,9.3789663929555
"96602_g_at",4.9579962406913,4.82627690482747,4.56357789494005,4.77856591144193,4.77498801273272,4.57666755770529,5.00384124808871,4.87650141843358,4.59307662989121,4.88528636297938,4.91048701606617,4.58879273564455
"96887_at",11.1458894034696,11.2738196097354,11.7809831083458,10.9214083773076,11.0534245487181,11.7298353311048,10.9257096401301,11.0638926344706,11.5734167118066,11.1498720318416,11.2171468607049,11.7490522700307
"101539_f_at",6.15916089965591,6.10258522803566,6.18604612152258,5.76686910694538,5.51980934272565,6.17841218805751,5.64508630952981,5.71247761883139,5.93290787005759,6.11340569451192,6.24758782656464,6.30224471896019
"104725_at",9.15871942266434,9.20078638072657,9.51313044880367,8.66138599414441,8.81762250688904,9.3693167936728,8.69691185829376,8.88258598645132,9.26982795009922,8.95867013779275,8.86230733623822,9.2565833515143
"97505_at",8.16182505149606,8.31255722757597,8.67802071236979,8.51999825860412,8.51177588249369,9.04545234747999,8.09667061984932,8.48390706813388,8.6178003724532,8.00534204956671,8.10743234373852,8.42829740101188
"97263_s_at",9.00624517490198,8.98758518118593,8.84282871022331,9.66362087739395,9.39331641673992,8.92815248495436,9.40015831528027,9.42892744586749,9.13635307253542,9.06115793654099,9.12394247829474,8.91043241178071
"94034_at",6.36131151447519,6.57321251913325,7.14283011297283,6.59702866465512,6.71043032432214,7.06648042043774,6.6557827480715,6.71524360292142,6.91234977038033,6.46709231692057,6.61986377766848,7.00396657322329
"95564_at",5.23712536874562,5.64740988874769,5.66034444227836,5.80690943444571,5.53853390733532,5.87442824799993,5.49220326869834,5.82360739501568,5.72762629462366,5.26887503447975,5.34947555132496,5.42588034612519
"93257_at",7.900579386587,8.55579752911052,8.86800326521958,8.82490888475411,8.99276574143896,9.22170252130813,8.50874510130675,8.99751334826444,9.03502859983884,8.50656321798857,8.36040298280793,8.67881470274782
"96862_at",7.54619450950594,7.80117041532863,8.47958912949825,7.62758113281791,7.88183905953837,8.86368877577777,7.34330213944889,7.71305671783318,8.40011098262102,7.41412949998267,7.54322855855177,8.22533686068468
"161280_r_at",8.67645733121554,8.33308178331145,8.08617024843775,8.35675887258064,8.33679029460485,8.01409458995345,8.56010429468675,8.45859033638826,8.04394006556164,8.4485737447044,8.33917225774567,8.19381243934998
